CRN,CODE,TITLE,CR,DATE,DAYS,TIME,COST
13785,ACCT100M,Bookkeeping for Small Business,3,8/28-12/15,,Online,$788
13786,ACCT113M,Introduction to Accounting and Financial Reporting I,3,8/28-12/15,,Online,$678
13787,ACCT113M,Introduction to Accounting and Financial Reporting I,3,8/28-12/15,T R,9:30-10:45am,$678
13788,ACCT113M,Introduction to Accounting and Financial Reporting I,3,8/28-12/15,M W,11am-12:15pm,$678
13789,ACCT113M,Introduction to Accounting and Financial Reporting I,3,8/28-12/15,T,6:30-9pm,$678
13791,ACCT113M,Introduction to Accounting and Financial Reporting I,3,8/28-12/15,T R,8-9:15am,$678
13792,ACCT123M,Introduction to Accounting and Financial Reporting II (P),3,8/28-12/15,R,6:30-9pm,$678
13793,ACCT123M,Introduction to Accounting and Financial Reporting II (P),3,8/28-12/15,,Online,$678
13794,ACCT123M,Introduction to Accounting and Financial Reporting II (P),3,8/28-12/15,M W,12:30-1:45pm,$678
13796,ACCT213M,Cost Accounting I (P),3,8/28-12/15,T R,11am-12:15pm,$678
13797,ACCT213M,Cost Accounting I (P),3,8/28-12/15,M,6:30-9pm,$678
13798,ACCT213M,Cost Accounting I (P),3,8/28-12/15,,Online,$678
13799,ACCT216M,Software System Applications (P),3,8/28-12/15,M,11am-2:20pm,$788
13801,ACCT220M,Intermediate Accounting I (P),3,8/28-12/15,W,6:30-9pm,$678
13802,ACCT220M,Intermediate Accounting I (P),3,8/28-12/15,,Online,$678
13804,ACCT243M,Federal Income Taxes - Individuals (P),3,8/28-12/15,M,5-7:30pm,$678
14274,ADMN122M,Executive Keyboarding,3,8/28-12/15,T R,8-9:40am,$788
13814,ADMT110M,Manufacturing Processes (P) HYBRIDOnline plus in class Saturdays,3,8/28-12/15,S,8-11:30am,$788
14451,ADMT110M,Manufacturing Processes (P) HYBRIDOnline plus in class Thursdays,3,8/28-12/15,R,6-9:20pm,$788
14456,ADMT112M,Introduction to Engineering Design and Solid Modeling (P) HYBRIDOnline plus in class Fridays,4,8/28-12/15,F,6-10:10pm,"$1,014"
14457,ADMT112M,Introduction to Engineering Design and Solid Modeling (P) HYBRIDOnline plus in class Thursdays,4,8/28-12/15,R,8am-12:10pm,"$1,014"
